"Offer No."	"Type"	"No."	"Variant Type"	"Variant Code"	"Exclude"	"Unit of Measure"	"Description"	"No. of Items Needed"	"Line Group"	"Deal Price/Disc. %"	"Disc. Type"	"Standard Price"	"Standard Price Including VAT"	"Discount Amount"	"Discount Amount Including VAT"	"Offer Price"	"Offer Price Including VAT"
"QAT-MM-00009"	"Item"	"5059726552527"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726552534"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726552541"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726552558"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726406431"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726406448"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726406455"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726406462"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726406479"	" "	""	"No"	""	"VLE STRAIGHT JOGGER"	"0"	""	"50.14749"	"Disc. %"	"339.00"	"339.00"	"170.00"	"170.00"	"169.00"	"169.00"
"QAT-MM-00009"	"Item"	"5059726204457"	" "	""	"No"	""	"STUDIOS SLIM JEAN"	"0"	""	"50.12531"	"Disc. %"	"399.00"	"399.00"	"200.00"	"200.00"	"199.00"	"199.00"
"QAT-MM-00009"	"Item"	"5057847477576"	" "	""	"No"	""	"CORE CARGO"	"0"	""	"50.1355"	"Disc. %"	"369.00"	"369.00"	"185.00"	"185.00"	"184.00"	"184.00"
"QAT-MM-00009"	"Item"	"5057847477583"	" "	""	"No"	""	"CORE CARGO"	"0"	""	"50.1355"	"Disc. %"	"369.00"	"369.00"	"185.00"	"185.00"	"184.00"	"184.00"
"QAT-MM-00009"	"Item"	"5057847477590"	" "	""	"No"	""	"CORE CARGO"	"0"	""	"50.1355"	"Disc. %"	"369.00"	"369.00"	"185.00"	"185.00"	"184.00"	"184.00"
"QAT-MM-00009"	"Item"	"5057847477606"	" "	""	"No"	""	"CORE CARGO"	"0"	""	"50.1355"	"Disc. %"	"369.00"	"369.00"	"185.00"	"185.00"	"184.00"	"184.00"
"QAT-MM-00009"	"Item"	"5059726356187"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356194"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356200"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356217"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356224"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356286"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356293"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356309"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356316"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726356323"	" "	""	"No"	""	"GYMTECH SHORT"	"0"	""	"50.16181"	"Disc. %"	"309.00"	"309.00"	"155.00"	"155.00"	"154.00"	"154.00"
"QAT-MM-00009"	"Item"	"5059726627843"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
"QAT-MM-00009"	"Item"	"5059726627850"	" "	""	"No"	""	"VINTAGE GYM ATHLETIC SHORT UB"	"0"	""	"50.2008"	"Disc. %"	"249.00"	"249.00"	"125.00"	"125.00"	"124.00"	"124.00"
